mr bradlaugh,1574
mrs besant,1019
lord chief,728
chief justic,724
bradlaugh mrs,461
queen bench,263
fruit philosophi,234
bradlaugh said,227
obscen book,224
public moral,219
publish obscen,151
anni besant,145
charl bradlaugh,145
mr charl,137
verdict guilti,134
bench divis,132
mr straight,125
prosecut mr,120
quash indict,115
solicitor general,112
publish book,111
new trial,108
mrs anni,108
justic said,108
mr justic,105
special juri,103
justic mellor,102
alderman figgin,97
check popul,97
trial mr,96
mr mead,93
popul question,89
book obscen,88
besant mr,86
deprav public,85
bradlaugh besant,82
unread text,81
court queen,81
case queen,79
medic work,79
calcul deprav,77
central crimin,75
crimin court,75
straight mr,74
charg publish,70
move quash,70
said would,69
learn counsel,67
entitl fruit,65
publish work,64
address court,63
mr alderman,63
knowlton pamphlet,63
book calcul,61
dr knowlton,60
public book,60
book publish,59
address juri,58
verdict juri,57
queen bradlaugh,57
defend corrupt,56
work publish,55
juri found,55
24th march,55
thoma dakin,55
court would,53
sell book,52
essay popul,51
exoner defend,51
mr dougla,51
dougla straight,51
question whether,50
besant said,50
two year,49
corrupt motiv,48
enter recognis,48
sir thoma,48
year ago,48
said case,48
larg number,47
move new,47
court justic,47
besant publish,47
obscen libel,45
book entitl,45
mead appear,45
juri would,44
bradlaugh case,44
show caus,44
motiv publish,44
case adjourn,43
solicitorgener said,43
boy girl,43
appear prosecut,43
book would,43
corrupt intent,42
court error,42
call upon,42
work mr,42
solicitorgener mr,42
court rose,42
justic mr,41
defend publish,41
work obscen,41
charg mr,41
hous lord,41
john stuart,40
writ certiorari,40
fine 200,40
case mr,40
stuart mill,40
book mr,40
month pay,40
figgin said,39
increas popul,39
arrest judgment,39
set law,39
trial ground,39
prosecut defend,38
pay fine,38
bradlaugh prosecut,38
besant address,38
copi work,37
obscen work,37
sinc verdict,37
continu address,37
mr martin,37
entir exoner,37
intent publish,37
certiorari remov,37
case one,36
besant resum,36
case prosecut,36
good intent,36
alleg immor,35
formal evid,35
straight said,35
general circul,35
corrupt moral,35
pass sentenc,35
indict ground,35
lord campbel,35
commit trial,35
call fruit,35
imprison six,35
mr darwin,34
dr drysdal,34
medic book,34
medic man,34
work question,34
carpent physiolog,34
moral entir,34
common law,34
would ask,33
mr watt,33
nation reform,33
court crowd,33
bradlaugh address,32
lordship said,32
word obscen,32
scientif check,32
indict mr,32
judgment roll,32
indec book,32
larg famili,32
court adjourn,31
charl knowlton,31
open case,31
check advoc,31
put forward,31
court trial,31
whole book,31
would say,30
day week,30
six month,30
find juri,30
would go,30
bradlaugh mr,30
girl school,30
500 good,30
natur check,30
besant proceed,30
besant appear,30
polic court,30
copi book,30
high court,30
justic cockburn,30
would call,29
divis high,29
call attent,29
bradlaugh move,29
prosecut mrs,29
guildhal polic,29
chief clerk,29
point reserv,29
priest absolut,29
indict publish,29
yesterday mr,29
ask juri,28
juri sworn,28
plead guilti,28
dakin said,28
must direct,28
sale book,27
use necessari,27
polit economi,27
vitiat public,27
guildhal policecourt,27
philosophi mr,27
defenc mrs,27
made statement,27
set forth,27
alleg obscen,27
found book,27
church england,27
found guilti,27
submit law,27
young men,27
man woman,26
defend conduct,26
conduct defenc,26
work calcul,26
medic men,26
receiv letter,26
would give,25
judg special,25
allow go,25
intent corrupt,25
justic special,25
charg obscen,25
never brought,25
one hand,25
philosophi essay,25
bradlaugh ask,25
said mrs,25
publish pamphlet,25
publish indec,25
prosecut said,25
public work,25
martin chief,25
mani year,25
good behavior,24
publish alleg,24
said content,24
offic citi,24
malthusian leagu,24
copi sold,24
